time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-07T15:30:13.770Z,35.7376671,-117.5735016,5.77,1.61,ml,13,74,0.08031,0.09,ci,ci38477183,2019-07-07T15:32:16.914Z,"16km WSW of Searles Valley, CA",earthquake,0.38,1.42,0.189,6,automatic,ci,ci
2019-07-07T15:29:44.840Z,35.6673317,-117.4233322,10.85,2.22,ml,12,164,0.08665,0.22,ci,ci38477175,2019-07-07T15:31:59.168Z,"11km S of Searles Valley, CA",earthquake,1.1,1.99,0.409,19,automatic,ci,ci
2019-07-07T15:28:28.830Z,38.7698326,-122.7279968,0.96,1.24,md,10,108,,0.02,nc,nc73213221,2019-07-07T15:30:03.736Z,"3km ESE of The Geysers, CA",earthquake,0.28,0.48,0.09,4,automatic,nc,nc
2019-07-07T15:27:37.870Z,35.982,-117.735,1.25,2.55,ml,20,82,0.07456,0.14,ci,ci38477167,2019-07-07T15:31:24.917Z,"16km ENE of Little Lake, CA",earthquake,0.22,0.39,0.163,25,automatic,ci,ci
2019-07-07T15:27:18.910Z,35.8001667,-117.6321667,6,1.28,ml,14,80,0.03217,0.24,ci,ci38477159,2019-07-07T15:31:05.925Z,"20km N of Ridgecrest, CA",earthquake,0.53,1.14,0.221,10,automatic,ci,ci
2019-07-07T15:26:13.210Z,35.9143333,-117.703,2.14,1.62,ml,15,61,0.08494,0.18,ci,ci38477151,2019-07-07T15:30:03.912Z,"18km E of Little Lake, CA",earthquake,0.3,0.48,0.072,23,automatic,ci,ci
2019-07-07T15:25:01.560Z,36.0348333,-117.7278333,1.84,1.73,ml,12,109,0.1319,0.3,ci,ci38477143,2019-07-07T15:28:48.094Z,"20km NE of Little Lake, CA",earthquake,0.64,1.16,0.175,15,automatic,ci,ci
2019-07-07T15:24:38.180Z,35.9218333,-117.684,0.36,1.61,ml,14,76,0.06821,0.2,ci,ci38477135,2019-07-07T15:28:14.958Z,"20km E of Little Lake, CA",earthquake,0.38,0.61,0.165,16,automatic,ci,ci
2019-07-07T15:24:05.560Z,35.6713333,-117.5078333,5.66,1.85,ml,23,81,0.09245,0.27,ci,ci38477119,2019-07-07T15:30:33.553Z,"14km SW of Searles Valley, CA",earthquake,0.48,2.1,0.124,27,automatic,ci,ci
2019-07-07T15:19:38.890Z,35.7363333,-117.5271667,3.07,2.15,ml,25,66,0.09773,0.14,ci,ci38477103,2019-07-07T15:30:40.180Z,"12km WSW of Searles Valley, CA",earthquake,0.23,0.84,0.138,25,automatic,ci,ci
2019-07-07T15:17:32.750Z,35.7085,-117.507,4.75,1.77,ml,26,62,0.1271,0.2,ci,ci38477095,2019-07-07T15:28:36.450Z,"11km SW of Searles Valley, CA",earthquake,0.32,1.03,0.161,27,automatic,ci,ci
2019-07-07T15:16:53.110Z,35.8346667,-117.6785,2.63,1.16,ml,17,63,0.06847,0.28,ci,ci38477087,2019-07-07T15:20:35.154Z,"24km ESE of Little Lake, CA",earthquake,0.62,0.67,0.152,14,automatic,ci,ci
2019-07-07T15:12:54.780Z,35.9168333,-117.6981667,7.9,1.9,ml,15,64,0.08053,0.15,ci,ci38477071,2019-07-07T15:16:38.513Z,"19km E of Little Lake, CA",earthquake,0.37,1.02,0.14,18,automatic,ci,ci
